recipe_title,ingredients,instructions
Health Benefits of Rasna (Alpinia Galanga) - Ayurvedic Medicinal Plant ,Rasna|Black pepper powder|Cumin powder (Jeera)|Honey|Water,"To begin making Rasna, Ayurvedic Medicinal Plant Tea Recipe in a saucepan add all the ingredients ,the rasna roots, washed and chopped, the rasna leaves torn into bits and water.|Boil for about 15 minutes till the water reduces to half and forms a strong rasna tea decoction. |Stir in the the black pepper powder and cumin powder and give it another brisk boil.|Once combined and infused well, strain the rasna tea and discard the herbs and spices.|Add honey if you like before serving."
Kadai Chole Recipe- Dry Chickpeas Masala with Capsicum,Kabuli Chana (White Chickpeas)|Onions|Green Bell Pepper (Capsicum)|Garlic|Ginger|Green Chilli|Tomato|Cinnamon Stick (Dalchini)|Cloves (Laung)|Bay leaf (tej patta)|Black cardamom (Badi Elaichi)|Coriander Powder (Dhania)|Cumin powder (Jeera)|Kashmiri Red Chilli Powder|Amchur (Dry Mango Powder)|Ajwain (Carom seeds)|Salt,"To begin making Kadai Chole Recipe, first wash and soak the chickpeas for 6 hours or overnight in water.|Cook the chana in the pressure cooker along with salt and 3 cups water for about 30 minutes until soft. |Heat ghee in a large kadai on medium heat; add the ajwain, onions, ginger, garlic, green chilli, cinnamon, cloves, cardamom, bay leaves and saute until the onions softened.|Add the capsicum and stir fry the capsicum on high heat until the capsicum is just about soft. It should retain its green colour.|Stir in the tomatoes,and all the dry masalas - Coriander Powder, Red chili powder, cumin powder, garam masala powder, amchur powder and salt.|Give it a stir and finally add the cooked chana masala into the kadai. Add a little more ghee at this stage and cook the Kadai Chole along with the masalas until it gets well coated with the spices.|Keep heat on low and cover the pan and cook the Kadai Chole for about 5 minutes minutes till all the flavors blend well with each other and turn off the heat.|Check the taste and adjust the salt and spices accordingly. Once done, transfer the Kadai Chole to a s serving bowl and serve hot.|Serve Kadai Chole with |, | and | for a perfect weekend dinner. You can also add a |, | and a | and make a perfect north indian menu for parties. "
Banana Stem Thoran Recipe - Ayurvedic No Onion No Garlic Recipe,Banana Stem|Fresh coconut|Green Chillies|Curry leaves|Salt|Coconut Oil|Mustard seeds|White Urad Dal (Split)|Curry leaves,"To begin making the Banana Stem Thoran Recipe, prepare all the ingredients and keep them aside.|Add the banana stem into the pressure cooker, add 1/4 cup of water and salt and pressure cook for 2 whistles.|Release the pressure immediately, by placing the cooker under cold running water.|It is important to release the pressure immediately, so the banana stem does not become soggy.|Into a blender, blend the coconut, curry leaves and green chillies into a coarse mixture.|Stir this mixture into the cooked banana stem and keep aside.|Heat oil in a tadka pan; add the mustard seeds and urad dal. Allow it to crackle and the dal to turn crisp and golden brown.|Once done, stir in the curry leaves and turn off the heat.|Pour the tadka over the banana stem thoran and stir. Check the salt and adjust to suit your taste.|Serve the Banana Stem Thoran along with | and | for lunch or even pack it into your lunch box along with |."
Besan Aur Dahi Wali Kacche Kele Ki Sabzi Recipe,Raw Banana|Gram flour (besan)|Asafoetida (hing)|Cumin seeds (Jeera)|Turmeric powder (Haldi)|Red Chilli powder|Coriander Powder (Dhania)|Hung Curd (Greek Yogurt)|Lukewarm Water|Salt|Sunflower Oil|Coriander (Dhania) Leaves|Sunflower Oil|Green Chilli,"To begin making the Besan Aur Dahi Wali Kacche Kele Ki Sabzi Recipe, firstly peel the raw bananas and cut them into round shape or any desired shape that you like.|Pressure cook the raw banana with water and salt for about 1 whistle and remove away from the heat. Open the cooker and keep the bananas aside.|Now we will make the gram flour mixture. Add besan, salt, turmeric powder and water in a bowl and mix it properly. |Now take the banana slices, add it in the besan mixture and coat them well. Heat a flat skillet with 2 tablespoon oil and add the banana coated besan mixture and fry them till they are brown and crisp.|Take them out and drain it over a paper cloth and keep it aside.|Now heat oil in a heavy bottomed pan. Add asafetida and cumin seeds, add turmeric powder, coriander powder and red chilli powder. Let it cook for 3 to 5 minutes. Make sure the flame is low.|Now add curd and water and mix it properly, add the fried raw bananas and check the salt. Keep mixing it and let it cook for 10 to 15 minutes. Switch the gas off and garnish it with green chilies and coriander leaves. |Serve Besan Aur Dahi Wali Kacche Kele Ki Sabzi Recipe along with | and | to make it comforting meal."
Mooli And Moong Dal Sabji Recipe,Mooli/ Mullangi (Radish)|Mooli Ke Patte (Radish Greens)|Yellow Moong Dal (Split)|Garlic|Sunflower Oil|Mustard seeds|Cumin seeds (Jeera)|Turmeric powder (Haldi)|Asafoetida (hing)|Green Chillies|Sugar|Salt,"To begin making the Mooli and Moong Dal Sabji Recipe, firstly heat oil in a heavy bottomed pan.|Add the mustard seeds and once they splutter, add the cumin seeds. Let it cook for 30 seconds.|After 30 seconds, add garlic, asafoetida, turmeric powder, green chillies and saute for a few seconds. Drain, add the moong dal and stir.|Cook covered for 2-3 minutes till the dal is almost cooked. Add a tablespoon of water if required.|Add the radish and greens. Add salt, sugar, stir and cook for 1-2 minutes till the radish softens a bit. Do not overcook. It is ready to be served.|Serve Mooli And Moong Dal Sabji along with |, | and | for a weekday lunch."
"Chicken, Mushroom And Broccoli Au Gratin Recipe",All Purpose Flour (Maida)|Milk|Cheddar cheese|Black pepper powder|Salt|Chicken breasts|Button mushrooms|Broccoli|Garlic|Italian seasoning|Black pepper powder|Salt|Whole Wheat Bread crumbs|Cheddar cheese,"To begin making Chicken, Mushroom And Broccoli Au Gratin first keep a non stick pan on the heat. Melt the butter in it, and add chopped garlic and saute for a minute.|Add the chicken and saute for three minutes until cooked. Then add the mushrooms and broccoli and saute till the water in the mushrooms dry up.|Next season with italian herbs, salt and pepper and turn the heat off and keep aside.|Now to make the white cheese sauce; melt butter over low heat in a heavy-bottomed saucepan and add flour. Turn the heat down and keep stirring so as to avoid any lumps.|When the flour smells toasted and turns light brown in color and mixes together evenly with the butter, pour in the milk and keep stirring to avoid any lumps. Cook for 5 minutes till the white sauce thickens and gets glossy.|Take the white sauce off the heat and add half cup of cheddar cheese and season with salt and pepper to taste. Keep aside.|Set Oven to 200 degrees Celsius and pre heat for ten minutes. |To assemble the Chicken, Mushroom And Broccoli Au Gratin. Grease a 8 inch by 4 inch baking dish with butter, place the chicken,mushrooms and broccoli first and cover with white cheese sauce.|Sprinkle breadcrumbs and grated cheese on the top. Place the Chicken, Mushroom And Broccoli Au Gratin in the middle rack of the oven and bake for 15 to 20 minutes at 200 degree Celsius till you get a nice brown crusted layer at the top. |Serve Chicken, Mushroom And Broccoli Au Gratin with | and | and | for a special lunch/dinner."
Gongura Pappu Recipe - Gongura/ Sorrel Leaves Dal,Arhar dal (Split Toor Dal)|Red Chilli powder|Turmeric powder (Haldi)|Sorrel Leaves (Gongura)|Pearl onions (Sambar Onions)|Green Chillies|Curry leaves|Garlic|Dry Red Chillies|Sesame (Gingelly) Oil|Salt,"To begin making the Gongura Pappu, first pressure cook toor dal along with chili powder, haldi and with three cups of water for five whistles on medium flame and turn off the heat. |Allow the pressure to release naturally, as the dal will continue to cook while there is pressure. |Next heat oil in a pan and add dry red chilies,curry leaves, crushed garlic, chopped onions, green chilies and salt and cook till the onions become translucent and soft. |Then add Gongura leaves/ Sorrel Leaves to the pan and cook till the sorrel leaves reduce and wilt. The gongura leaves take very less time to cook - about 2 to 3 minutes.|Once done, add the cooked Gongura leaves to the cooked dal in the pressure cooker and simmer for five minutes until the dal gets the flavours from the gongura.|Once done, check the taste and adjust the salt and seasonings accordingly.|Transfer the Gongura Pappu to a serving bowl and serve hot.|Serve Gongura Pappu along with |, |, |, |, | and a bowl of | for a delicious Indian lunch or dinner."
Kerala Mutton Roast Recipe - Kerala Mutton Masala ,Mutton|Black pepper powder|Salt|Turmeric powder (Haldi)|Coconut Oil|Onion|Tomato|Ginger|Garlic|Red Chilli powder|Turmeric powder (Haldi)|Coriander Powder (Dhania)|Fennel seeds (Saunf)|Curry leaves|Salt,"To begin making Kerala Mutton Roast Recipe, wash and clean the mutton pieces well. |In a pressure cooker, combine the mutton pieces, pepper powder, salt, turmeric powder and mix well.|Add 1 cup of water. Close the pressure cooker and place on high flame.|Once the first whistle blows, reduce the flame to low and then let it continue to be on low flame for another 30 minutes. After 30 minutes, turn off the heat and allow the pressure to release naturally. |Transfer the mutton pieces in a bowl and keep the stock aside. The stock will be utilized later. |In a deep pan or wok add coconut oil on medium heat. Once the oil is hot, add sliced onion and saute for about 3-4 minutes until the onions become soft and translucent.|Now add fennel seeds, ginger, garlic and curry leaves and let it cook for 2 minutes. |To the onion mix, add red chilli powder, turmeric powder, coriander powder, garam masala powder salt and stir well. Saute for a couple of minutes until the Kerala Mutton Roast masala comes together.|Once the raw smell of the masala is gone, add the chopped tomatoes and cook until soft and mushy. This will take about 2 to 3 minutes.|At this stage add the mutton stock and the mutton pieces into this Mutton Roast masala. Let this cook on medium to high flame until the Kerala Mutton Roast becomes semi dry.|Once the Kerala Mutton Roast Recipe is done, turn off the heat, check the salt and spice levels and adjust to suit your taste.|Serve Kerala Mutton Roast along with | and | for a complete meal or can be eaten along with |, | or |."
Breakfast Bagel Sandwich Recipe With Guacamole & Vegetables,Avocado|Lemon juice|Cilantro|Tomatoes|Red onion|Pickled Jalapenos|Salt|Bagel|Mixed vegetables|Salt and Pepper,"To begin making the Breakfast Bagel Sandwich With Guacamole And Vegetables, firstly prepare the guacamole.|Slice the avocados down the middle, scooping out the stone and then using a spoon scoop out the tender, green flesh. Place it in a mixing bowl and mash it roughly using the back of a fork. It’s okay to have it a little chunky, and not smooth chunks.|Add in lime juice to keep the avocado from going black, then top it with the chopped cilantro, chopped tomatoes, chopped red onion, jalapeño/chillies and mix well.|Season it with salt and combine once again. Cover the dish with a plate and chill it until further use.|Next, slice and toast the bagels in a bagel toaster. When ready to assemble the sandwich, spread the prepared guacamole over the toasted bagel. Scoop some shredded vegetables over and cover with some more guacamole on top.|Sprinkle salt and pepper, and cover with the other half of the bagel.|Serve the Breakfast Bagel Sandwich With Guacamole And Vegetables warm along with | for a wholesome breakfast, or pack it away for a snack box or picnic."
Eggless Paneer Mc Puff Recipe -Mc Donald's Style,All Purpose Flour (Maida)|Salt|Chilled water|Green Bell Pepper (Capsicum)|Red Bell pepper (Capsicum)|Garlic|Black pepper powder|Salt|Sugar,"To begin making Eggless Paneer Mc Puff Recipe,prep all the ingredients and start by making pastry dough.|Sift flour in a large mixing bowl, add salt and butter, and mix to form crumbles.|Start adding water and knead to make a soft and smooth dough.|Cover the dough and keep it aside to rest for 15 minutes.|Meanwhile, prepare the filling for the puffs. Heat butter in a wok and add chopped garlic and sauté till golden.|Add chopped capsicum, red bell pepper, salt, black pepper, and sauté till soft.|Now add all the three sauces and stir well for 2-3 minutes.|Add finely chopped paneer pieces into the saucy mix and stir such that everything incorporates well.|Sprinkle a pinch of sugar, give a quick mix and set aside to cool.|Pinch a large tennis ball sized dough and roll to make a ball.|Place the dough ball on the dusted counter and roll out to make a thin sheet.|Cut the sheet into equal sized 2 x 2 inch squares with a knife or a pizza cutter. Collect the extras from the sized, and keep aside.|Take a teaspoon of the filling and place on the center of a square.|Wet your index finger with water and slide across the sides of the square sheet.|Place another 2-inch dough sheet over it and press the sides gently.|Make impressions with a fork across the sides to seal.|Place the puff on a lined |.|Similarly, make more puffs and place them on the baking tray. (You can make square, round, crescent shapes etc)|Preheat the |at 180 degrees Celsius for 10-15 minutes (adjust according to your oven).|Bake the Paneer Puffs for 15-20 minutes or till you see them turning crisp and golden.|Cool them on a cooling rack for three minutes before serving.|Serve Eggless Paneer Mc Puff Recipe with |or delicious dips like | or | during tea time or as appetizer for your party meal of | and |."
Chettinadu Kozhi Kuzhambu Recipe - Chettinadu Chicken Curry,Chicken|Shallots|Tomatoes|Curry leaves|Fennel seeds (Saunf)|Dry Red Chillies|Green Chillies|Turmeric powder (Haldi)|Fennel Powder|Coriander Powder (Dhania)|Red Chilli powder|Black pepper powder|Salt|Sunflower Oil|Water|Coriander (Dhania) Leaves,"To begin making the Chettinadu Kuzhambu recipe, clean the chicken thoroughly. Then add about 1/2 teaspoon of turmeric powder and water until chicken in fully immersed and let it sit for 10 minutes. Then drain the turmeric water and marinate with little salt. This step of washing chicken in turmeric water will reduce the smell in the chicken.|In a |, add oil on medium flame. First add finely chopped shallots and sauté till onions turn soft. Then add ginger garlic paste and cook till the raw smell of the paste is gone.|Add fennel seeds, curry leaves, dried red chilies, green chilies and continur to cook for another minute or so. |Add finely chopped tomatoes and cook till tomatoes turn soft and mushy.|Now add the marinated chicken and let it cook for 3 to 5 minutes.|Add all the spice powders, mix well. Cook for another 5 minutes.|Now add salt and about 1/2 cup water. Cover and cook until chicken is 3/4 cooked.|Now add tamarind juice, mix well and continue to cook on low flame for about 10 minutes.|Finally add chopped fresh coriander leaves and curry leaves. Turn off flame. Serve hot.|Serve Chettinadu Kozhi Kuzhambu Recipe  along with |  and | for a weekday lunch or dinner."
Bajra Na Rotla Recipe - A Traditional Gujarati Pearl Millet Bread,Bajra Flour ( Pearl Millet)|Salt|Water,"To begin making Bajra Na Rotla in a wide mouth bowl combine the flour and salt; add water a little at a time to make stiff dough. Cover the dough and allow it to rest for 10 minutes. Knead once again and divide the dough into 6 portions. Preheat your iron skillet on medium heat.|Traditionally this rolta is cooked on a clay skillet, if you do have one, go ahead and use it. But for all practical purposes the iron skillet works just as well.|Using wet palms place the ball on flat surface and flatten the ball with your palms. Continue pressing the dough until the rotla has attained a round shape. If you find any cracks, use your finger to pinch the cracks together and seal them. Toss the dough on flour if it gets sticky.|You can also use a wet cloth or a greased plastic sheet to make your rotla on if you are not able to make the rotla on a flat surface. |Place the rotla on the heated iron skillet and cook for a few seconds on one side and turn over gently with a flat spatula to the other side.|Turn the heat to low and allow the rotla to cook slowly. Once again flip and cook on low heat until well done. You will notice that it begins to puff when it is cooking slowly on low heat. There are times the rotla will not puff; so don’t get hassled, just allow it to cook evenly and you can still savor it. Continue the process with the remaining portions of the dough. Turn off the heat.|Serve the Bajra Rotla’s hot with jaggery and butter or |. Bajra na Rotla has to be served straight from the stove, if it cools down, it will feel very dry and bland. There are a few things which have to come straight from the stove to the plate and this is one of them.|Serve Bajra Na Rotla along with | by the side. Or you can serve it along with | and "
Prawns Kuzhambu Recipe - Tangy Prawns In Tamarind And Coconut Gravy,Prawns|Onions|Turmeric powder (Haldi)|Tomato|Garlic|Ginger|Mustard seeds|Fresh coconut|Curry leaves|Red Chilli powder|Cardamom (Elaichi) Pods/Seeds|Sunflower Oil|Water|Salt,"To begin making the Prawns Kuzhambu recipe, firstly wash the prawns and add them in a bowl. Now put salt and turmeric powder, mix them well in a bowl. |Heat oil in a heavy bottomed pan on medium heat. Once the oil is hot, add in the prawns and let it fry for about 3 minutes. Keep them aside.|Heat some more oil in the same pan, add mustard seeds and curry leaves and let it cook for 15 seconds.|After 15 seconds, break the cardamom pod and add to the pan. Add onions and let it cook till the onion turns soft and translucent.|Once the onions are cooked, add tomato, ginger and garlic. Let it cook for about a minute.|Sprinkle the grated coconut. Add water, salt and tamarind paste. Once it starts boiling, add the prawns and let it cook till soft or for about 8-10 minutes. Check salt and rest of the seasoning.|Once the prawns are cooked, switch off the gas and serve hot.|Serve Prawns Kuzhambu along with| and | for a comforting and tasty weekend meal."
Bihari Style Kadhi Bari Recipe,Gram flour (besan)|Red Chilli powder|Coriander Powder (Dhania)|Turmeric powder (Haldi)|Cumin seeds (Jeera)|Ajwain (Carom seeds)|Enos fruit salt|Salt|Gram flour (besan)|Turmeric powder (Haldi)|Coriander (Dhania) Seeds|Bay leaf (tej patta)|Curry leaves|Garlic|Cumin seeds (Jeera)|Dry Red Chilli|Kashmiri Red Chilli Powder|Salt,"To begin making Bihari Style Kadhi Bari Recipe we start with making the bari's. To make the bari, mix the besan, red chilli powder, coriander powder, cumin seeds, ajwain seeds,turmeric powder, eno and salt in a mixing bowl.|Add enough water to make a thick batter. Whisk this mixture vigorously for few minutes to make the mixture light. |Heat a paniyaram pan on medium heat, brush each cavity with oil, pour a spoon full of the prepared bari batter into each cavity. |Pour a few drops of oil around and let it cook for 3 minutes.|Flip over and cook the other side of the bari's, once cooked take it out in a bowl and finish making bari's with the leftover batter. The baris should be golden brown in colour on the outside.|Next, we will make the kadhi. Take a big bowl mix the curd, besan and turmeric, make a thin lump free mixture by adding 3 cups of water.|Heat oil a heavy bottomed pan. Add bay leaf, coriander seeds and let it splutter. Add the prepared curd and besan mixture, whisk well to avoid the lumps, add more water if the mixture becomes too thick.|Let the kadhi simmer for 5 minutes, until the raw smell of the besan goes away. Ensure you keep whisking the khadi so it becomes smooth and does not look curdled.|Season the Kadhi with salt, add the prepared baris and simmer for another 10 minutes.|Heat ghee in a pan over medium heat; add the mustard cumin seeds, garlic, chillies and chilli powder. Saute for a few seconds and pour it over the Khadi Bari|Once done, switch off the heat and let the baris soak up the kadhi and become soft before serving.|Serve the Kadhi Bari with |, | and | for a simple yet delicious weekend lunch."
Spiced Onion Pulao Recipe - Pyaz Pulao Recipe,Rice|Bay leaves (tej patta)|Cloves (Laung)|Cinnamon stick|Green Chillies|Onions|Ginger|Garlic|Tomato|Salt|Mint Leaves (Pudina),"To begin making the Spiced Onion Pulao Recipe, wash the rice thoroughly, and drain off all the excess water using a strainer. |Now pat dry the rice on an absorbent paper. |Heat a kadai, on medium-low flame, and dry roast the rice for about 3-4 minutes, stirring continuously. We are not looking for any colour here. |Turn off the flame and set aside. |Heat a pressure cooker with ghee on medium flame, into the cooker add the whole spices - bay leaves, cloves and cinnamon and allow them to sizzle. |Once the spices sizzle, add the onions, ginger and garlic and saute until the onions have softened|Now add the slit green chillies, chopped tomatoes and saute until the tomatoes are soft and mushy.|Once soft, mash the tomatoes slightly with the back of the ladle. |Finally add in the dry roasted rice, 2 cups of water, salt to taste and close the pressure cooker. |Pressure cook for 2-3 whistles and turn off the heat. Wait for the cooker to depressurise and then open the lid. |Once done, gently fluff with the Spiced Onion Pulao and transfer to a serving bowl.|Serve  Spiced Onion Pulao Recipe along with | or |, | and finish the meal with a dessert of |."
बीटरूट और टमाटर चटनी रेसिपी - Tangy Raw Beetroot & Tomato Chutney Recipe,बीटरूट|हरा धनिया|टमाटर|हरी मिर्च|निम्बू का रस|पानी|नमक,"बीटरूट और टमाटर चटनी रेसिपी बनाने के लिए सबसे पहले साड़ी सामग्री तैयार कर ले. |अब एक फ़ूड प्रोसेसर में बीटरूट, हरा धनिया, टमाटर, हरी मिर्च डाले और अच्छी तरह से पीस ले. |अब इसमें निम्बू का रस, स्वाद अनुसार नमक, प्रयोग अनुसार पानी डाले और 20 सेकण्ड्स के लिए पीस ले. एक बाउल में निकाले और परोसे। |बीटरूट और टमाटर चटनी रेसिपी को |, कीरई सांबर और फ़िल्टर कॉफ़ी के साथ सुबह के नाश्ते के लिए परोसे।"
कोल्लु थोगयल रेसिपी - Kollu Thogayal Recipe,कुलीथ दाल|चना दाल|उरद दाल|नारियल|सुखी लाल मिर्च|तेल|राइ|कढ़ी पत्ता|हींग|हल्दी पाउडर|नमक|पानी,"कोल्लु थोगयल रेसिपी बनाने के लिए सबसे पहले एक कढ़ाई में तेल गरम कर ले. इसमें राइ डाले और 10 सेकण्ड्स के लिए पका ले. |अब इसमें हींग, कढ़ी पत्ता, सुखी लाल मिर्च, चना दाल, उरद दाल डाले और 15 सेकण्ड्स के लिए पका ले. गैस की आंच धीमी रखें। |अब इसमें हल्दी पाउडर, कुलीथ दाल डाले और 3 से 4 मिनट के लिए पका ले. गैस बंद करें और नारियल डाले। अब इस मिश्रण को एक मिक्सर ग्राइंडर में थोड़े पानी के साथ डाले और पीस ले. |नमक डाले, मिलाए, बाउल में निकाले और परोसे. कोल्लु थोगयल रेसिपी को |और | के साथ शाम के नाश्ते के लिए परोसे।"
Paneer Stuffed Bhindi Masala Recipe,Bhindi (Lady Finger/Okra)|Sunflower Oil|Onion|Tomato|Ginger|Garlic|Cumin seeds (Jeera)|Asafoetida (hing)|Salt|Coriander Powder (Dhania)|Amchur (Dry Mango Powder)|Red Chilli powder|Turmeric powder (Haldi)|Salt,"To begin making Paneer Stuffed Bhindi Masala Recipe wash okra, pat them with a dry cloth and cut off the stems. Make a vertical cut in okra, making sure they don’t become two separate halves.|To prepare the paneer stuffing, combine all the ingredients for the stuffing in a mixing bowl.|Fill 1/2 teaspoon of mixture in each okra through the slits. Once all the okras are stuffed with the mixture, keep them aside.|Heat oil in a | and add cumin seeds along with the asafoetida. Once it crackles, add chopped onion, ginger, garlic and saute until the onions are tender.|Add the stuffed okra and saute. Cover and cook on low heat for 5 minutes. Once the bhindi is nearly cooked add the tomatoes and cook for a couple of minutes on medium heat.|Stir in the remaining paneer (if extra) stuffing at this point of time to add more flavors.|Cover the pan and simmer the Paneer Stuffed Bhindi Masala over medium heat until the bhindi is soft and cooked.|Check the salt and adjust according to taste. Transfer the Paneer Stuffed Bhindi Masala to a serving bowl and serve hot.|Serve the Paneer Stuffed Bhindi Masala along with |, | and | for a weekday dinner."
Spicy Moroccan Rice With Chicken Recipe,Chicken|Onion|Rice|Chicken stock|Kabuli Chana (White Chickpeas)|Parsley leaves|Cumin seeds (Jeera)|Dry ginger powder|Salt|Black pepper powder|Cinnamon Stick (Dalchini)|Coriander (Dhania) Seeds|Red Chilli powder|Cloves (Laung),"To prepare Spicy Moroccan Rice With Chicken Recipe, we will first make the spice mix. |In a mixer jar, combine the cumin, ground ginger, salt, black pepper, cinnamon stick, coriander seeds, red chilli powder, ground allspice, ground cloves and grind to a fine powder to make the Moroccan Spice Blend.|Mix the chicken pieces with about 2-3 tablespoons of Moroccan spice blend and a little water and keep aside for 30 minutes.|Heat butter in pressure cookeron medium heat and add sliced onion. Saute until soft and transparent.|Add the marinated chicken pieces. Saute and cook for about five minutes in medium heat.|Take the uncooked rice and add to the chicken mix. Toss for a couple of minutes and add chicken broth and chickpeas.|Pressure cook until one whistle and allow the pressure to release naturally.|Serve Spicy Moroccan Rice With Chicken Recipe as a one pot dinner with | and a | as dessert."
Moroccan Chicken Stew Recipe With Sauteed Zucchini & Onion Dressing,Boneless chicken|Salt|Onion|Garlic|Carrots (Gajjar)|Celery|Ginger|Paprika powder|Cumin powder (Jeera)|Dried oregano|Cayenne Pepper|Turmeric powder (Haldi)|Water|Tomato|Kabuli Chana (White Chickpeas)|Green zucchini|Lemon juice|Green zucchini|Onion|Strawberries,"To prepare Moroccan Chicken Stew Recipe With Sauteed Zucchini & Onion Dressing, get prep with all the ingredients first.|Season chicken with salt and brown in oil in a large sauce pan over medium heat until almost cooked through. Remove chicken from pan and keep aside.|Meanwhile pressure cook chickpeas till cooked and soft, for about 5-6 whistles.|Saute onion, garlic, carrots and celery in same pan.|When it is cooked, stir in ginger, paprika, cumin, oregano, cayenne pepper and turmeric.|Stir fry for about 1 minute; then add water and crushed tomatoes.|Return chicken to pan, reduce heat to low and simmer for about 10 mins.|Add chickpeas and zucchini to pan and bring to boil once again.|Cover pan and cook for about 15 mins or until zucchini is cooked through and tender. |Saute a few zucchini and onion slices in a separate kadai and keep aside.|Serve Moroccan Chicken Stew Recipe With Sauteed Zucchini & Onion Dressing on a bed of | like it is served traditionally in Africa."
मसूर दाल और राजमा मसाला रेसिपी - Masoor Dal Aur Rajma Masala Recipe,मसूर दाल|राजमा|प्याज|टमाटर|हरी मिर्च|धनिया पाउडर|अदरक|लाल मिर्च पाउडर|गरम मसाला पाउडर|दालचीनी|जीरा|अदरक|घी|नमक,"मसूर दाल और राजमा मसाला रेसिपी बनाने के लिए सबसे पहले दाल और राजमा को धोकर रात भर पानी में भिगो दे. |अब इसे एक प्रेशर कुकर में पानी और नमक के साथ डाले और 3 से 4 सिटी आने तक पका ले. गैस बंद करें और प्रेशर अपने आप निकलने दे.|अब एक मिक्सर ग्राइंडर में प्याज, अदरक डाले और पीस ले. अलग से रख दे. |अब एक कढ़ाई में घी गरम करने दे. इसमें दालचीनी, जीरा डाले और 15 सेकण्ड्स के लिए पका ले. |अब इसमें प्याज अदरक का पेस्ट डाले और भूरा सुनहरा होने तक पका ले. अब इसमें हरी मिर्च, टमाटर की प्यूरी डाले और 2 मिनट के लिए पका ले. |2 मिनट के बाद इसमें धनिया पाउडर, लाल मिर्च पाउडर, गरम मसाला पाउडर डाले और 3 से 4 मिनट के लिए पका ले.|अब इसमें मसूर दाल, राजमा, प्रयोग अनुसार पानी, नमक डाले और धीमी आंच पर 10 मिनट के लिए धीमी आंच पर पका ले.|गैस बंद करें और अदरक से गार्निश करें। परोसे। मसूर दाल और राजमा मसाला रेसिपी को |, | और | के साथ अपने दिन के खाने के लिए परोसे।"
Neymeen Vatti Pattichathu Recipe - Seer Fish In Spicy Masala,Seer fish|Curry leaves|Turmeric powder (Haldi)|Coconut milk|Lemon juice|Salt|Coconut Oil|Onion|Dry Red Chillies|Garlic|Ginger|Green Chilli,"To begin making the Neymeen Vatti Pattichathu Recipe, we will first grind the ingredients mentioned in the list to a coarse paste including onion, dry red chillies, garlic, ginger, green chillies and keep it aside.|Marinate the fish with lemon juice, turmeric powder, salt and keep it aside for 15 minutes.|Heat a flat skillet with coconut oil, add curry leaves and allow it crackle for few seconds.|Add the ground onion paste and keep stirring till the raw smell goes away. Make sure you do this in low flame and not let the onions burn.|Add turmeric powder, tamarind water and give it a stir. Allow the water to reduce and place the marinated fish pieces gently on the gravy.|Sprinkle salt and pour half of coconut milk and give it a stir gently. Cover it with the lid and cook for 10 minutes.|Add remaining of the coconut milk and cover it and cook for another 20 minutes.|Check for salt and give one last stir gently and serve hot.|Serve the Neymeen Vatti Pattichathu Recipe along with | and | to form a delicious meal for your Sunday."
Creamy Polenta Recipe  - Savory Cornmeal Porridge,Polenta|Water|Milk|Extra Virgin Olive Oil|Black pepper powder|Salt,"To begin making the Creamy Polenta Recipe, heat a saucepan with the olive oil and the butter on medium flame. |Next add the milk and water and bring this mixture to a brisk boil. |Once the polenta has begun to boil, reduce the flame, and gradually add the polenta, mixing continuously. |Mix well and ensure while cooking there are not lumps formed. It is important while cooking we keep stirring it a little until it has thickened.|Once the polenta begins to thicken, cover and cook for 4-6 minutes, until the polenta is well cooked and fully swelled up. The polenta will thicken as it cools down, so it is a good idea for it to have more liquid and because easier to serve and eat as well.|Sprinkle some salt and pepper and serve the polenta hot. |Serve Creamy Polenta Recipe along with | or | and |.|Serve | along with the meal and | as dessert."
Macha Mahura Recipe - Odia Style Fish Curry With Vegetables,Kaddu (Parangikai/ Pumpkin)|Colocasia root (Arbi)|Elephant yam (Suran/Senai/Ratalu)|Plantain Stem|Kala Chana (Brown Chickpeas)|Badi (wadi)|Rohu fish|Coriander (Dhania) Seeds|Fennel seeds (Saunf)|Cloves (Laung)|Cumin seeds (Jeera)|Whole Black Peppercorns|Cinnamon Stick (Dalchini)|Turmeric powder (Haldi)|Onion|Salt|Sunflower Oil|Water,"To begin making the Macha Mahura Recipe, soak the black chana overnight. Heat a frying pan and dry roast whole coriander seeds, cumin seeds, black pepper, fennel seeds, cinnamon stick, bay leaf and grind to make a fine powder. In the same pan, dry roast the wadis and keep aside.|In a pan steam the fish along with some salt, turmeric and bay leaf for 5 to 10 minutes. Strain the water in a wire strainer and start smashing the fish with the back of the spoon. This way the bones will get separated from the flesh and you have to collect the flesh only.|Heat the required oil in a kadhai and once it is hot, transfer the boneless fish into the pot and fry till it resembles small pebbles. Keep it aside. This process is known as Macha Kharada. This can be served with Pakhala also.|Chop all vegetables in small cubes. Boil all vegetables with salt, turmeric powder, water and black chana. After the vegetables are half boiled, add 2 tablespoons of powdered masala powder and 1 tablespoon sugar. Cover and cook till the vegetables cooked completely.|Add some more oil to the pan and add panch phutan. Add the sliced onions and fry till the onion turns golden brown. Add ginger garlic paste and cook till they blend well.|Next, add the fish and the boiled vegetables. Cook for 10 minutes and then add the fried crushed badis. Sprinkle the powdered garam masala on top and serve hot.|Serve Macha Mahura along with |for your weekday meal. You can also serve | on the side to complete the meal."
